15;18;15;14;12,46;Ata
3;16;13;13;1,77;Ata
19;15;16;11;13,72;Ata
16;14;16;13;13,09;Tor
2;16;12;14;1,58;Tor
15;15;15;10;8,46;Sas
20;15;14;13;12,99;Int
23;15;15;16;18,69;Int
14;16;16;12;8,54;Int
39;18;16;15;22,24;Laz
18;16;15;17;12,26;Mil
12;13;12;8;5,30;Mil
9;13;13;15;7,31;Sam
10;13;13;17;7,28;Fio
16;16;16;10;13,08;Fio
30;18;16;16;27,91;Zeb
17;17;15;16;17,8;Zeb
8;13;16;14;9,94;Zeb
7;16;15;13;9,21;Sas
8;13;13;10;11,01;Laz
2;14;14;11;1,80;Laz
4;0;14;17;4,14;Sas
16;13;14;11;17,63;Fio
2;9;11;12;4,61;Sam
6;12;10;14;6,14;Sam
5;17;16;11;5,80;Mil
12;16;16;11;11,67;Udi
8;12;14;12;9,71;Udi
8;12;15;8;6,79;Udi
9;11;14;7;7,60;Tor
12;15;16;14;12,02;Cag
6;14;11;10;5,20;Cag
10;14;11;10;10,25;Cag



